taxon_id	kingdom	phylum	class	order	family	genus	scientific_name	tolid_prefix	chromosome_number	haploid_number	ploidy	c_value	genome_size	common_name	synonym
2712997	Metazoa	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Dendarus	Dendarus foraminosus	icDenFora	22	11	2	0.48	415650000		
575809	Metazoa	Arthropoda	Insecta	Coleoptera	Tenebrionidae	Dailognatha	Dailognatha quadricollis	icDaiQuad	20	10	2	0.285	283620000		
1146903	Metazoa	Arthropoda	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra	Scolopendra cretica	qcScoCret	30	15	2	0.3	293400000		
160988	Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Ulmaceae	Zelkova	Zelkova abelicea	drZelAbel	28	14	2	1.4165	1320300000		
10068	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Acomys	Acomys cahirinus	mAcoCah	38	19	2	2.64	2581920000		
34869	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Rupicapra	Rupicapra rupicapra	mRupRup	58	29	2	3.2675	3195615000		
39030	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius	mApoAgr	48	25	2	3.11	3041580000		
75933	Metazoa	Chordata	Actinopteri	Esociformes	Umbridae	Umbra	Umbra krameri	fUmbKra	22	11	4	2.485	2430330000		
1457099	Metazoa	Arthropoda	Insecta	Coleoptera	Leiodidae	Astagobius	Astagobius angustatus	icAstAngu	22	11	2	0.82	801960000		
130055	Metazoa	Cnidaria	Anthozoa	Scleractinia		Cladocora	Cladocora caespitosa	jaClaCaes	34	13	4	0.885	865530000		
169124	Metazoa	Annelida	Polychaeta	Eunicida	Dorvilleidae	Ophryotrocha	Ophryotrocha puerilis	wjOphPuer	8	4	2	0.355	347190000		
1380992	Metazoa	Mollusca	Bivalvia	Pterioida	Pinnidae	Pinna	Pinna rudis	xbPinRudi	28	14	2	1.1	1075800000		
57642	Metazoa	Mollusca	Gastropoda	Siphonariida	Siphonariidae	Siphonaria	Siphonaria pectinata	xgSipPect	48	18	2	1.91354166666667	2073360000		
307678	Metazoa	Nemertea	Enopla	Monostilifera	Tetrastemmatidae	Tetrastemma	Tetrastemma melanocephalum	tnTetMela	32	4	2	1.4	1369200000		
1826298	Metazoa	Platyhelminthes	Rhabditophora	Tricladida	Geoplanidae	Obama	Obama nungara	hrObaNung	16	8	2	1.33666666666667	1603920000		
94942	Metazoa	Arthropoda	Malacostraca	Decapoda	Astacidae	Austropotamobius	Austropotamobius torrentium	qmAusTorr	200	58	2	4.74	4361880000		
347984	Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Coronilla	Coronilla viminalis	drCorVimi	12	6	2	1.64	1603920000		
187398	Metazoa	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus castroviejoi	mLepCas	48	24	2	3.315	3242070000		
943103	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex perexiguus	idCulPerx	6	3	2	0.78	762840000		
1464561	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex laticinctus	idCulLati	6	3	2	0.78	762840000		
561267	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex theileri	idCulThei	6	3	2	0.78	762840000		
545656	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex modestus	idCulMode	6	3	2	0.78	762840000		
38569	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens pipiens		12	6	2	0.54	528120000		
233155	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens molestus		12	6	2	0.54	528120000		
